x,y,z,time,label
9.837542725,0.047900391,0.486188965,6-30,1
10.06147705,0.040715332,0.283809814,6-30,1
10.08782227,0.0490979,0.015567627,6-30,1
10.00519409,0.046702881,0.237106934,6-30,1
10.04231689,0.062270508,0.193996582,6-30,1
10.16925293,0.094603271,0.111368408,6-30,1
10.04231689,0.070653076,0.159268799,6-30,1
10.09859985,0.114960938,0.149688721,6-30,1
10.0554895,0.10418335,0.035925293,6-30,1
9.883048096,0.022752686,0.421523438,6-30,1
10.06387207,0.081430664,0.112565918,6-30,1
10.08063721,0.129331055,0.243094482,6-30,1
10.01597168,0.091010742,-0.136516113,6-30,1
9.832752686,0.10418335,0.591569824,6-30,1
10.1165625,0.057480469,-0.092208252,6-30,1
9.827962646,0.111368408,0.640667725,6-30,1
9.966873779,0.125738525,-0.137713623,6-30,1
9.86029541,0.093405762,0.596359863,6-30,1
